Metric,Value
Accuracy,0.7990382181726146
Weighted Precision,0.9435037605615849
Weighted Recall,0.7990382181726146
Weighted F1 Score,0.8540263334380206
AUC,0.8187600516005841
Balanced Accuracy,0.7598562514562389
Class 0 Precision,0.9827698309492848
Class 0 Recall,0.803134962805526
Class 0 F1 Score,0.8839181286549709
Class 1 Precision,0.15314285714285714
Class 1 Recall,0.7165775401069518
Class 1 F1 Score,0.2523540489642184
