iter	Passed	Remaining
416	2883	4031
417	2890	4025
418	2898	4018
419	2905	4012
420	2912	4005
421	2919	3998
422	2926	3992
423	2933	3984
424	2940	3977
425	2947	3971
426	2954	3964
427	2961	3958
428	2968	3951
429	2975	3944
430	2982	3936
431	2989	3930
432	2996	3923
433	3003	3916
434	3010	3909
435	3016	3902
436	3023	3895
437	3031	3889
438	3038	3882
439	3044	3874
440	3051	3868
441	3058	3861
442	3065	3854
443	3072	3847
444	3079	3840
445	3086	3834
446	3094	3827
447	3101	3821
448	3107	3813
449	3115	3807
450	3121	3799
451	3127	3792
452	3135	3785
453	3141	3778
454	3149	3772
455	3155	3764
456	3163	3758
457	3169	3750
458	3176	3743
459	3183	3737
460	3190	3730
461	3197	3723
462	3202	3713
463	3209	3707
464	3214	3698
465	3221	3691
466	3227	3684
467	3234	3677
468	3241	3670
469	3248	3663
470	3255	3656
471	3263	3650
472	3267	3640
473	3274	3633
474	3281	3626
475	3288	3619
476	3295	3612
477	3302	3606
478	3309	3599
479	3316	3593
480	3323	3585
481	3330	3579
482	3337	3572
483	3344	3565
484	3351	3558
485	3358	3551
486	3365	3545
487	3372	3538
488	3379	3531
489	3386	3525
490	3392	3516
491	3399	3510
492	3406	3503
493	3413	3496
494	3420	3489
495	3425	3480
496	3432	3473
497	3438	3466
498	3443	3456
499	3447	3447
500	3454	3440
501	3461	3433
502	3465	3424
503	3472	3416
504	3479	3410
505	3485	3403
506	3492	3396
507	3500	3389
508	3507	3383
509	3514	3376
510	3520	3369
511	3528	3362
512	3535	3356
513	3542	3349
514	3549	3342
515	3556	3336
516	3563	3329
517	3570	3322
518	3577	3315
519	3584	3309
520	3592	3302
521	3595	3292
522	3602	3285
523	3608	3278
524	3615	3271
525	3622	3264
526	3630	3258
527	3637	3251
528	3644	3244
529	3651	3237
530	3657	3230
531	3664	3223
532	3672	3217
533	3678	3210
534	3686	3203
535	3692	3196
536	3699	3190
537	3706	3183
538	3714	3176
539	3721	3170
540	3728	3163
541	3734	3155
542	3741	3149
543	3748	3141
544	3754	3134
545	3761	3128
546	3768	3120
547	3775	3113
548	3782	3107
549	3789	3100
550	3796	3093
551	3803	3087
552	3811	3080
553	3817	3073
554	3824	3066
555	3831	3059
556	3838	3052
557	3845	3045
558	3851	3038
559	3858	3031
560	3865	3025
561	3872	3018
562	3879	3011
563	3887	3005
564	3894	2998
565	3900	2991
566	3908	2984
567	3914	2977
568	3921	2970
569	3928	2963
570	3935	2956
571	3942	2949
572	3947	2941
573	3954	2934
574	3961	2927
575	3968	2921
576	3975	2914
577	3982	2907
578	3989	2900
579	3996	2894
580	4003	2887
581	4010	2880
582	4017	2873
583	4025	2867
584	4031	2860
585	4038	2853
586	4045	2846
587	4053	2839
588	4059	2832
589	4066	2826
590	4073	2819
591	4081	2812
592	4087	2805
593	4094	2798
594	4100	2791
595	4107	2784
596	4114	2777
597	4121	2770
598	4128	2763
599	4135	2756
600	4142	2749
601	4149	2743
602	4156	2736
603	4160	2728
604	4167	2720
605	4174	2713
606	4181	2707
607	4188	2700
608	4195	2693
609	4202	2686
610	4209	2680
611	4216	2673
612	4223	2666
613	4231	2660
614	4238	2653
615	4245	2646
616	4252	2639
617	4259	2632
618	4266	2626
619	4273	2619
620	4280	2612
621	4287	2605
622	4294	2598
623	4301	2591
624	4308	2584
625	4315	2578
626	4321	2571
627	4328	2564
628	4336	2557
629	4342	2550
630	4350	2543
631	4357	2537
632	4364	2530
633	4382	2530
634	4389	2523
635	4396	2516
636	4403	2509
637	4410	2502
638	4417	2495
639	4424	2488
640	4431	2481
641	4438	2475
642	4445	2468
643	4452	2461
644	4458	2453
645	4465	2447
646	4472	2440
647	4479	2433
648	4486	2426
649	4493	2419
650	4502	2413
651	4509	2406
652	4515	2399
653	4519	2391
654	4526	2384
655	4533	2377
656	4540	2370
657	4546	2363
658	4553	2356
659	4558	2348
660	4566	2341
661	4572	2334
662	4579	2327
663	4587	2321
664	4594	2314
665	4601	2307
666	4608	2300
667	4615	2294
668	4622	2286
669	4629	2280
670	4635	2272
671	4642	2266
672	4649	2259
673	4656	2252
674	4659	2243
675	4666	2236
676	4674	2230
677	4681	2223
678	4688	2216
679	4695	2209
680	4702	2202
681	4709	2196
682	4716	2189
683	4724	2182
684	4730	2175
685	4738	2168
686	4744	2161
687	4751	2154
688	4757	2147
689	4765	2140
690	4772	2134
691	4778	2127
692	4785	2120
693	4793	2113
694	4798	2105
695	4805	2098
696	4812	2092
697	4819	2085
698	4827	2078
699	4834	2071
700	4841	2065
701	4848	2058
702	4855	2051
703	4861	2044
704	4869	2037
705	4876	2030
706	4883	2023
707	4890	2016
708	4897	2010
709	4904	2003
710	4911	1996
711	4918	1989
712	4925	1982
713	4932	1975
714	4938	1968
715	4945	1961
716	4952	1954
717	4959	1948
718	4967	1941
719	4974	1934
720	4981	1927
721	4988	1920
722	4995	1913
723	5002	1907
724	5009	1900
725	5015	1893
726	5023	1886
727	5030	1879
728	5037	1872
729	5044	1865
730	5048	1857
731	5055	1850
732	5062	1844
733	5069	1837
734	5076	1830
735	5083	1823
736	5090	1816
737	5097	1809
738	5104	1802
739	5109	1795
740	5115	1788
741	5122	1781
742	5129	1774
743	5136	1767
744	5143	1760
745	5150	1753
746	5157	1746
747	5164	1740
748	5171	1733
749	5176	1725
750	5183	1718
751	5188	1711
752	5195	1704
753	5203	1697
754	5210	1690
755	5217	1684
756	5224	1677
757	5231	1670
758	5238	1663
759	5245	1656
760	5252	1649
761	5260	1642
762	5264	1635
763	5271	1628
764	5278	1621
765	5285	1614
766	5292	1607
767	5299	1600
768	5305	1593
769	5312	1586
770	5319	1580
771	5326	1573
772	5333	1566
773	5340	1559
774	5347	1552
775	5354	1545
776	5361	1538
777	5368	1531
778	5375	1525
779	5382	1518
780	5389	1511
781	5395	1504
782	5402	1497
783	5410	1490
784	5416	1483
785	5423	1476
786	5430	1469
787	5437	1462
788	5444	1455
789	5450	1448
790	5457	1442
791	5464	1435
792	5471	1428
793	5478	1421
794	5484	1414
795	5491	1407
796	5498	1400
797	5505	1393
798	5511	1386
799	5518	1379
800	5525	1372
801	5532	1365
802	5539	1359
803	5546	1352
804	5553	1345
805	5561	1338
806	5568	1331
807	5575	1324
808	5582	1317
809	5588	1310
810	5595	1304
811	5602	1297
812	5609	1290
813	5616	1283
814	5623	1276
815	5630	1269
816	5637	1262
817	5640	1255
818	5647	1248
819	5654	1241
820	5661	1234
821	5668	1227
822	5675	1220
823	5681	1213
824	5688	1206
825	5695	1199
826	5702	1192
827	5709	1186
828	5717	1179
829	5724	1172
830	5730	1165
831	5737	1158
832	5744	1151
833	5752	1144
834	5759	1138
835	5765	1131
836	5773	1124
837	5779	1117
838	5787	1110
839	5793	1103
840	5801	1096
841	5808	1089
842	5815	1083
843	5822	1076
844	5829	1069
845	5835	1062
846	5842	1055
847	5850	1048
848	5856	1041
849	5864	1034
850	5871	1028
851	5878	1021
852	5885	1014
853	5891	1007
854	5899	1000
855	5906	993
856	5913	986
857	5919	979
858	5926	972
859	5933	965
860	5940	959
861	5947	952
862	5954	945
863	5961	938
864	5968	931
865	5975	924
866	5982	917
867	5989	910
868	5996	903
869	6003	897
870	6010	890
871	6017	883
872	6024	876
873	6031	869
874	6038	862
875	6045	855
876	6052	848
877	6060	842
878	6067	835
879	6074	828
880	6081	821
881	6088	814
882	6095	807
883	6102	800
884	6109	793
885	6114	786
886	6121	779
887	6128	773
888	6135	766
889	6143	759
890	6150	752
891	6157	745
892	6164	738
893	6171	731
894	6178	724
895	6185	717
896	6192	711
897	6199	704
898	6206	697
899	6212	690
900	6220	683
901	6226	676
902	6234	669
903	6243	663
904	6253	656
905	6263	649
906	6272	643
907	6281	636
908	6291	629
909	6301	623
910	6310	616
911	6320	609
912	6330	603
913	6338	596
914	6347	589
915	6354	582
916	6364	576
917	6372	569
918	6381	562
919	6390	555
920	6397	548
921	6404	541
922	6411	534
923	6420	528
924	6430	521
925	6440	514
926	6448	507
927	6455	500
928	6463	493
929	6470	487
930	6477	480
931	6484	473
932	6491	466
933	6498	459
934	6506	452
935	6513	445
936	6520	438
937	6527	431
938	6534	424
939	6541	417
940	6548	410
941	6555	403
942	6563	396
943	6569	389
944	6577	382
945	6584	375
946	6591	368
947	6598	361
948	6605	354
949	6611	347
950	6619	341
951	6626	334
952	6632	327
953	6639	320
954	6647	313
955	6654	306
956	6661	299
957	6664	292
958	6671	285
959	6678	278
960	6685	271
961	6693	264
962	6700	257
963	6707	250
964	6714	243
965	6721	236
966	6728	229
967	6735	222
968	6742	215
969	6749	208
970	6756	201
971	6763	194
972	6770	187
973	6776	180
974	6784	173
975	6791	166
976	6798	160
977	6805	153
978	6812	146
979	6819	139
980	6825	132
981	6832	125
982	6839	118
983	6846	111
984	6853	104
985	6860	97
986	6867	90
987	6874	83
988	6881	76
989	6888	69
990	6895	62
991	6902	55
992	6909	48
993	6916	41
994	6924	34
995	6931	27
996	6939	20
997	6946	13
998	6953	6
999	6958	0
