iter	Logloss
142	0.5610362474
143	0.5606678957
144	0.5603094568
145	0.5600646878
146	0.5596939397
147	0.5595122965
148	0.5591533674
149	0.5588914962
150	0.558767968
151	0.5584397575
152	0.5582127444
153	0.5578872573
154	0.5575417812
155	0.5573372624
156	0.5570551845
157	0.5568172237
158	0.5566192953
159	0.5564602554
160	0.5560734398
161	0.5557378221
162	0.5555258959
163	0.5551901148
164	0.5549538425
165	0.5547940401
166	0.5546585293
167	0.5545043369
168	0.554304829
169	0.5540253653
170	0.5537846813
171	0.5535289648
172	0.5533087599
173	0.5531625194
174	0.5530234684
175	0.5527016849
176	0.5524865453
177	0.5522258179
178	0.5518843179
179	0.5517251146
180	0.5514749535
181	0.5512051303
182	0.5509684223
183	0.5507133593
184	0.5506133603
185	0.5504292117
186	0.5501330815
187	0.5498693585
188	0.5496187073
189	0.5495056364
190	0.5492674034
191	0.5490531352
192	0.5489026464
193	0.548776994
194	0.5486869077
195	0.5484810818
196	0.5484129452
197	0.5481908339
198	0.548040672
199	0.5478583207
200	0.5476578324
201	0.547447159
202	0.5473315827
203	0.5471219442
204	0.5469067501
205	0.5466942249
206	0.5465315902
207	0.5463260366
208	0.5461217901
209	0.5460343182
210	0.5458644941
211	0.5456766963
212	0.5455920565
213	0.5455502269
214	0.545398213
215	0.5452719615
216	0.5451785528
217	0.5450373776
218	0.5449018669
219	0.5446354206
220	0.5445570445
221	0.5444468058
222	0.5443646171
223	0.5442639644
224	0.5440395656
225	0.5438481186
226	0.5437067801
227	0.5435922931
228	0.5433074919
229	0.5431794974
230	0.5430510128
231	0.5429872879
232	0.5428366357
233	0.5427121816
234	0.5425953526
235	0.5424892534
236	0.5422994948
237	0.5421643653
238	0.542021175
239	0.5418832678
240	0.5416130089
241	0.5415503733
242	0.5414089803
243	0.5412162805
244	0.5410324587
245	0.5409425358
246	0.5407378537
247	0.5405561015
248	0.5403925955
249	0.5402069218
250	0.5400897116
251	0.5399631332
252	0.5398604109
253	0.539659977
254	0.5395483223
255	0.5394556217
256	0.5393219083
257	0.5391753955
258	0.539081769
259	0.5389177727
260	0.5387817718
261	0.538628015
262	0.5385370573
263	0.5384333545
264	0.5383035083
265	0.5381921803
266	0.5381152203
267	0.5380516043
268	0.5379201241
269	0.5378175106
270	0.5376336344
271	0.5376030791
272	0.5374789517
273	0.5374165885
274	0.5373382668
275	0.5372224726
276	0.5371326042
277	0.5371302622
278	0.5370991078
279	0.5370105465
280	0.536950253
281	0.5368625087
282	0.5366328812
283	0.5363658358
284	0.5362321769
285	0.5361423629
286	0.5360878972
287	0.5360383334
288	0.5359978109
289	0.5358496642
290	0.5357680745
291	0.5356424766
292	0.5355462901
293	0.535487576
294	0.5354136116
295	0.5353721632
296	0.5353170983
297	0.5352019578
298	0.5351816966
299	0.5351312613
300	0.5350484734
301	0.5349974935
302	0.5348789761
303	0.5348238568
304	0.5347149253
305	0.5346782154
306	0.5346181942
307	0.5345655803
308	0.5344077387
309	0.5343361162
310	0.5341724468
311	0.5341372619
312	0.5340416201
313	0.5339875901
314	0.5339362834
315	0.5338863928
316	0.5337694004
317	0.5336068747
318	0.5335441302
319	0.5334812768
320	0.5334089463
321	0.5333435329
322	0.5332375971
323	0.5331378159
324	0.5330970211
325	0.5330727838
326	0.5329679373
327	0.5329207156
328	0.5328488208
329	0.5327510548
330	0.5327079725
331	0.5326577551
332	0.5325517648
333	0.5324221364
334	0.5323405467
335	0.5322821594
336	0.5322191971
337	0.5321675636
338	0.5321117907
339	0.5320570526
340	0.5319360843
341	0.5318561286
342	0.53179992
343	0.5317351057
344	0.5316885376
345	0.5316574921
346	0.5316083096
347	0.5315103802
348	0.5314804785
349	0.5314015577
350	0.5312900119
351	0.5311636514
352	0.5310665935
353	0.5309042856
354	0.5308930657
355	0.5307985132
356	0.5307072831
357	0.5306446476
358	0.530508919
359	0.5303586481
360	0.5302689975
361	0.5302232463
362	0.530118781
363	0.5300732477
364	0.5300326707
365	0.5299102318
366	0.529881256
367	0.5298090345
368	0.5297434577
369	0.5296956913
370	0.5296407899
371	0.5295492874
372	0.529335455
373	0.5292404668
374	0.5291613826
375	0.5290399785
376	0.5289465698
377	0.5286811039
378	0.5285800155
379	0.5285403644
380	0.5284890577
381	0.5283689063
382	0.5283124799
383	0.5282290928
384	0.5282227748
385	0.5281414575
386	0.5279916223
387	0.5279513177
388	0.5278900982
389	0.5278802399
390	0.5277808944
391	0.5277123766
392	0.5276118328
393	0.527532095
394	0.5274453856
395	0.5274202769
396	0.5273854733
397	0.5272995264
398	0.5272196796
399	0.5271487653
400	0.5271024694
401	0.5269626014
402	0.5269390178
403	0.5268799225
404	0.5268108055
405	0.5267675597
406	0.5267443028
407	0.5266964819
408	0.5266372232
409	0.5265769841
410	0.5265448494
411	0.5264467566
412	0.5263941972
413	0.526326224
414	0.5262399503
415	0.5261721949
416	0.5260721958
417	0.5260169131
418	0.5259348333
419	0.5258806944
420	0.5258374486
421	0.5258084184
422	0.5257585822
423	0.5256576028
424	0.5255607627
425	0.5255257957
426	0.525477757
427	0.5253370175
428	0.525307715
429	0.5251450803
430	0.5250468242
431	0.5249768902
432	0.52485968
433	0.5247926327
434	0.5246210112
435	0.524570467
436	0.5245433431
437	0.5244845745
438	0.5244519496
439	0.5243992812
440	0.5243057091
441	0.5242138799
442	0.52417717
443	0.5240847417
444	0.5240216704
445	0.5239690565
446	0.5238979243
447	0.5238597983
448	0.523779189
449	0.5236526107
450	0.5235828945
451	0.523567862
452	0.5235197688
453	0.5234784293
454	0.5234198242
455	0.52337794
456	0.5233153589
457	0.5232703702
458	0.5232258717
459	0.5231587155
460	0.5231093696
461	0.5229891637
462	0.5229839895
463	0.5229101884
464	0.5229023998
465	0.5228395464
466	0.5227950479
467	0.5227574121
468	0.5227098635
469	0.5226703759
470	0.5226277837
471	0.522557305
472	0.522556488
473	0.5224048555
474	0.5223442351
475	0.5222543122
476	0.5222018617
477	0.5221436923
478	0.5221000108
479	0.5220604687
480	0.5219875391
481	0.5219268098
482	0.521847181
483	0.5217906455
484	0.5217033914
485	0.5216835115
486	0.5216137409
487	0.521570604
488	0.5215129793
489	0.5214373264
490	0.5213936994
491	0.5213287762
492	0.5212864564
493	0.5212263807
494	0.5211828081
495	0.5211779606
496	0.5210578637
497	0.5210147269
498	0.5210131474
499	0.5210065026
500	0.5209419607
501	0.5208637479
502	0.5208493689
503	0.5208293256
504	0.5207461019
505	0.5206796538
506	0.5206438153
507	0.5205653847
508	0.5205117904
509	0.5204635338
510	0.5203827067
511	0.520300409
512	0.5202555837
513	0.5202076538
514	0.5201194194
515	0.5200426227
516	0.5199764468
517	0.5199440397
518	0.5199227981
519	0.5198249232
520	0.5197738888
521	0.5197724183
522	0.5197492159
523	0.5197200767
524	0.5196793363
525	0.5196347289
526	0.519507497
527	0.5194777587
528	0.519441539
529	0.5194146874
530	0.5193654504
531	0.5193511259
532	0.5193296664
533	0.5193105489
534	0.5192182295
535	0.5191689381
536	0.5191419775
537	0.5191074463
538	0.519028362
539	0.5190048873
540	0.5189270558
541	0.5188966639
542	0.5188148564
543	0.518782885
544	0.5187097376
545	0.5186783109
546	0.5186721018
547	0.5186194334
548	0.5185577782
549	0.5184867005
550	0.5184546201
551	0.5183766252
552	0.5182468879
553	0.5181945463
554	0.5181534247
555	0.518082238
556	0.5180673689
557	0.5180205283
558	0.5179888293
559	0.5179491238
560	0.5179052789
561	0.5178398656
562	0.5177593652
563	0.5177037557
564	0.5176816426
565	0.517658767
566	0.5176292466
567	0.5175919921
568	0.5175600751
569	0.5175266332
570	0.5174656316
571	0.5174540849
572	0.5174170482
573	0.5173654691
574	0.5173233671
575	0.5172956985
576	0.5172446097
577	0.517236113
578	0.5171952637
579	0.517130504
580	0.517091561
581	0.5170714087
582	0.5170055596
583	0.5169331747
584	0.516912859
585	0.5168767482
586	0.5168314872
587	0.5167831761
588	0.5167552897
589	0.5166947782
590	0.5166613908
591	0.5166109555
592	0.516553004
593	0.516524355
594	0.5164878085
595	0.5164585059
596	0.5164256631
597	0.5163486486
598	0.5162878648
599	0.5162692376
600	0.5162438021
601	0.516201809
602	0.5161609597
603	0.5161573105
604	0.5161439119
605	0.5161312759
606	0.5160933133
607	0.5160376493
608	0.5160058958
609	0.5159960375
610	0.5159520292
611	0.5159005591
612	0.5158533373
613	0.5157790461
614	0.5157491989
615	0.515665594
616	0.5155887429
617	0.5155453881
618	0.5155195714
619	0.5154646155
620	0.5154450623
621	0.5154291583
622	0.5153762176
623	0.5153293771
624	0.5152891814
625	0.5152661969
626	0.5151869492
627	0.5151598798
628	0.5150788348
629	0.5150288352
630	0.515002256
631	0.514966472
632	0.5149365703
633	0.5149270388
634	0.5149059606
635	0.5148587933
636	0.5147651122
637	0.5147306899
638	0.5147113001
639	0.5146430001
640	0.5146176191
641	0.5145665847
642	0.5144965962
643	0.5144450716
644	0.5144061831
645	0.514361848
646	0.5143171861
647	0.5142833085
648	0.5142134834
649	0.5141970348
650	0.5141605427
651	0.5141201292
652	0.5140063503
653	0.5140021564
654	0.5139604901
655	0.5139378324
656	0.513851123
657	0.5138110907
658	0.5137861454
659	0.5137703503
660	0.5137021592
661	0.5136741638
662	0.5136204062
663	0.5135561911
664	0.5135478034
665	0.5135273787
666	0.5134583162
667	0.5133677942
668	0.5133493303
669	0.513282991
670	0.5132457365
671	0.513210824
672	0.5131972075
673	0.5131563038
674	0.5131542885
675	0.5131026006
676	0.5130227538
677	0.5129655648
678	0.512907232
679	0.5128520582
680	0.5128398579
681	0.5127827234
682	0.5127210137
683	0.5126313631
684	0.5125802198
685	0.5125435099
686	0.5125108305
687	0.5124887719
688	0.5124296221
689	0.5123481959
690	0.5123258649
691	0.5122956364
692	0.5122475977
693	0.5121818576
694	0.5121723261
695	0.5121418253
696	0.5120921525
697	0.5120513032
698	0.5120438959
699	0.5120137763
700	0.5119699859
701	0.5119116531
702	0.5118686797
703	0.5118267955
704	0.5118102379
705	0.5117707503
706	0.5117346395
707	0.5117080603
708	0.5116692807
709	0.5115779961
710	0.5115364932
711	0.5115124738
712	0.5114830079
713	0.5114754916
714	0.5114421586
715	0.5113724425
716	0.5113515821
717	0.5112625307
718	0.5112496767
719	0.5112039255
720	0.5111715729
721	0.5111344273
722	0.5111176518
723	0.5110979352
724	0.5110273477
725	0.5110013131
726	0.5109598102
727	0.5109396579
728	0.5109212485
729	0.5108843207
730	0.5108653122
731	0.5107866637
732	0.5107665658
733	0.5107183092
734	0.5106695624
735	0.51063514
736	0.5105990292
737	0.5105786046
738	0.5105445091
739	0.5105411322
740	0.5105267532
741	0.5104877558
742	0.510434216
743	0.5103509924
744	0.5103392822
745	0.5102865049
746	0.5102527362
747	0.5101733252
748	0.5101373778
749	0.5101190773
750	0.5100834567
751	0.5100653196
752	0.5100029564
753	0.5099358546
754	0.5098883605
755	0.509859875
756	0.5098384699
757	0.5098100388
758	0.5097684815
759	0.509758133
760	0.5096793211
761	0.5096089514
762	0.5095922849
763	0.5095707709
764	0.5095401612
765	0.5095152159
766	0.5094870571
767	0.5094386371
768	0.5094256742
769	0.5093647271
770	0.5093214813
771	0.509281449
772	0.509256776
773	0.509241689
774	0.5091220278
775	0.5090959932
776	0.5090708301
777	0.5089581949
778	0.5089328139
779	0.5089124437
780	0.508829438
781	0.5087980657
782	0.5087806367
783	0.5087377722
784	0.5087187636
785	0.5086788947
786	0.5086123376
787	0.5085644623
788	0.5085454537
789	0.5084950729
790	0.5084727964
791	0.5084371214
792	0.5084134833
793	0.5083865227
794	0.5083553683
795	0.5083271551
796	0.5082885389
797	0.508262123
798	0.5082570577
799	0.5081832567
800	0.5081690956
801	0.5081266668
802	0.5081040635
803	0.5080744886
804	0.5080449137
805	0.5080060797
806	0.5079643589
807	0.5078845667
808	0.5078247088
809	0.5078151773
810	0.5077732387
811	0.5077305376
812	0.5076888713
813	0.5076575535
814	0.5076498194
815	0.5076108764
816	0.5075404522
817	0.5075402344
818	0.507509788
819	0.5074929037
820	0.5074731871
821	0.5074347887
822	0.5074203009
823	0.5073935582
824	0.5073484606
825	0.5073221536
826	0.5072852259
827	0.5072431783
828	0.5072137668
829	0.5071770025
830	0.5071028746
831	0.507053093
832	0.5070368622
833	0.5070140955
834	0.5069824509
835	0.506966438
836	0.5069461223
837	0.5069104472
838	0.5068780946
839	0.5068280951
840	0.5067866467
841	0.5067389347
842	0.5067170939
843	0.5066913861
844	0.5066577263
845	0.506604949
846	0.5065542959
847	0.5064801136
848	0.5064301141
849	0.5063908987
850	0.5062721635
851	0.5062272292
852	0.5061827308
853	0.5061740162
854	0.5061481995
855	0.5061209666
856	0.5060770128
857	0.5060421003
858	0.5060212944
859	0.5059832773
860	0.5059417199
861	0.5059109468
862	0.505897167
863	0.5058662849
864	0.5058413396
865	0.5058175381
866	0.5058029413
867	0.5057595321
868	0.5057248919
869	0.5057028878
870	0.5056360038
871	0.5055746754
872	0.5055528892
873	0.5055392183
874	0.5055085541
875	0.5054557223
876	0.5054405264
877	0.5054057228
878	0.5053477713
879	0.505306813
880	0.5052834472
881	0.505264003
882	0.5052276199
883	0.5051963565
884	0.5051689603
885	0.5051423266
886	0.5051217385
887	0.505081216
888	0.5050124803
889	0.5049852474
890	0.5048205431
891	0.5047764258
892	0.5047330711
893	0.5047034418
894	0.5046538235
895	0.5046303488
896	0.5045972336
897	0.5045710901
898	0.5045379749
899	0.5045192932
900	0.5044724527
901	0.504447344
902	0.5044216361
903	0.5043651552
904	0.504341626
905	0.5043136851
906	0.5042612346
907	0.5042365616
908	0.504186671
909	0.5041646124
910	0.504119896
911	0.5040643955
912	0.5040327509
913	0.5039977839
914	0.5039697885
915	0.5039655947
916	0.5039346037
917	0.5038850399
918	0.5038291036
919	0.5037731673
920	0.5037469693
921	0.5036692467
922	0.5036503471
923	0.5036203365
924	0.5035915786
925	0.5035686485
926	0.5035462631
927	0.5035176141
928	0.5034589545
929	0.5034156543
930	0.5033949573
931	0.503358901
932	0.5033171803
933	0.5032956118
934	0.5032407104
935	0.5032044362
936	0.5031773123
937	0.5031544911
938	0.5031230644
939	0.5030986638
940	0.5030867903
941	0.5030493723
942	0.5029895145
943	0.5029637522
944	0.5029514974
945	0.5029089052
946	0.5028686006
947	0.5028341782
948	0.5028066186
949	0.5027500287
950	0.5027251379
951	0.5026731231
952	0.5026528074
953	0.5026003569
954	0.5025553682
955	0.5024807502
956	0.5024347266
957	0.5024347266
958	0.5024226353
959	0.5023379955
960	0.5023016669
961	0.5022658829
962	0.5022249792
963	0.5021559711
964	0.5021278123
965	0.502105209
966	0.5020662116
967	0.5019932275
968	0.5019767789
969	0.5019546658
970	0.5019242739
971	0.5018585883
972	0.5017961705
973	0.5017532515
974	0.5016704637
975	0.5016159435
976	0.501563384
977	0.5015143649
978	0.5015034173
979	0.5014822301
980	0.50145064
981	0.5014198669
982	0.5013669807
983	0.5013043995
984	0.5011801088
985	0.5011618083
986	0.5011227564
987	0.501064587
988	0.5010496089
989	0.5010248815
990	0.5009911672
991	0.50094705
992	0.5009052203
993	0.5008286959
994	0.5007687292
995	0.5007022265
996	0.5006621942
997	0.5006458545
998	0.5006058222
999	0.5005845261
